Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
1.0825,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.861018396
1.08,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.866832548
1.12,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.773806114
1.0225,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-1.000558046
1.1225,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.767991962
1.19,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.611009855
1.656666667,2.778061756,14.72956264,2940.94,424374.67,1,1.452725263,0.429985311,0.474298538
1.73,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.644846999
1.75,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.691360216
1.67,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.505307349
1.786666667,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.776634448
1.766666667,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.730121231
1.663333333,2.778061756,14.72956264,2940.94,424374.67,1,1.452725263,0.429985311,0.489802942
1.73,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.644846999
1.746666667,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.683608014
1.653333333,2.778061756,14.72956264,2940.94,424374.67,1,1.452725263,0.429985311,0.466546334
1.78,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.761130041
1.703333333,2.778061756,14.72956264,2940.94,424374.67,2,1.452725263,0.429985311,0.582829376
2.485,3.805881943,15.32970153,2995.51,532397.2,2,1.452725263,0.429985311,2.400720935
2.4,3.805881943,15.32970153,2995.51,532397.2,2,1.452725263,0.429985311,2.203039764
2.325,3.805881943,15.32970153,2995.51,532397.2,2,1.452725263,0.429985311,2.0286152
2.3225,3.805881943,15.32970153,2995.51,532397.2,2,1.452725263,0.429985311,2.022801048
2.495,3.805881943,15.32970153,2995.51,532397.2,2,1.452725263,0.429985311,2.423977544
2.38,3.805881943,15.32970153,2995.51,532397.2,2,1.452725263,0.429985311,2.156526547
2.385,3.805881943,15.32970153,2995.51,532397.2,2,1.452725263,0.429985311,2.168154851
2.26,3.805881943,15.32970153,2995.51,532397.2,2,1.452725263,0.429985311,1.877447246
1.493333333,1.555151074,12.7932264,3003.58,401500.63,1,1.452725263,0.429985311,0.094440599
1.436666667,1.555151074,12.7932264,3003.58,401500.63,1,1.452725263,0.429985311,-0.037346847
1.41,1.555151074,12.7932264,3003.58,401500.63,1,1.452725263,0.429985311,-0.09936447
1.366666667,1.555151074,12.7932264,3003.58,401500.63,1,1.452725263,0.429985311,-0.200143106
1.363333333,1.555151074,12.7932264,3003.58,401500.63,1,1.452725263,0.429985311,-0.20789531
1.206666667,1.555151074,12.7932264,3003.58,401500.63,0,1.452725263,0.429985311,-0.572248841
1.306666667,1.555151074,12.7932264,3003.58,401500.63,1,1.452725263,0.429985311,-0.339682756
1.42,1.555151074,12.7932264,3003.58,401500.63,1,1.452725263,0.429985311,-0.076107862
0.98,1.555151074,12.7932264,3003.58,401500.63,0,1.452725263,0.429985311,-1.099398632
1.266666667,1.555151074,12.7932264,3003.58,401500.63,1,1.452725263,0.429985311,-0.43270919
3.01,3.374076464,15.72111539,3126.25,430095.61,2,1.452725263,0.429985311,3.621692877
3.023333333,3.374076464,15.72111539,3126.25,430095.61,2,1.452725263,0.429985311,3.652701688
3.163333333,3.374076464,15.72111539,3126.25,430095.61,2,1.452725263,0.429985311,3.978294206
3,3.374076464,15.72111539,3126.25,430095.61,2,1.452725263,0.429985311,3.598436269
3.096666667,3.374076464,15.72111539,3126.25,430095.61,2,1.452725263,0.429985311,3.823250151
3.126666667,3.374076464,15.72111539,3126.25,430095.61,2,1.452725263,0.429985311,3.893019976
3.006666667,3.374076464,15.72111539,3126.25,430095.61,2,1.452725263,0.429985311,3.613940675
3.023333333,3.374076464,15.72111539,3126.25,430095.61,2,1.452725263,0.429985311,3.652701688
1.853333333,4.018509994,16.85328339,3420.49,463179,2,1.452725263,0.429985311,0.931678502
1.5575,3.326873264,15.56233133,4026,594058.49,1,1.452725263,0.429985311,0.243670504
